ds,y
             2016 09 05,0.01003
             2016 09 05,0.00521
             2016 09 05,0.07721
             2016 09 05,0.01242
             2016 09 05,0.00448
             2016 09 05,0.00432
             2016 09 04,0.0008
             2016 09 04,0.03992
             2016 09 03,0.03483
             2016 09 03,0.03038
             2016 09 03,0.01565
             2016 08 30,0.28987
             2016 08 30,0.09239
             2016 08 30,0.07747
             2016 08 30,0.05343
             2016 08 30,0.00629
             2016 08 30,0.01312
             2016 08 30,0.01644
             2016 08 29,0.03386
             2016 08 29,0.12113
             2016 08 29,0.00939
             2016 08 28,0.02624
             2016 08 28,0.02473
             2016 08 27,0.01466
             2016 08 27,0.36559
             2016 08 26,0.16504
             2016 08 25,0.14191
             2016 08 28,0.00262
             2016 08 26,0.03397
             2016 08 26,0.04798
             2016 08 26,0.01752
             2016 08 21,0.24714
             2016 08 01,0.00258
             2016 08 09,0.06672
             2016 08 10,0.0339
             2016 08 10,0.02418
             2016 08 10,0.03739
             2016 08 09,0.03695
             2016 08 07,0.03016
             2016 08 06,0.01319
             2016 08 09,0.05881
             2016 08 08,0.01383
             2016 08 08,0.03236
             2016 08 08,0.02089
             2016 08 01,0.25983
             2016 08 09,0.02197
             2016 08 08,0.00615
             2016 08 06,0.00881
             2016 08 08,0.01539
             2016 08 08,0.00677
             2016 08 07,0.01929
             2016 08 07,0.0354
             2016 08 06,0.01926
             2016 08 05,0.12586
             2016 08 06,0.02453
             2016 08 03,0.01728
             2016 08 03,0.02223
             2016 08 01,0.17718
             2016 08 03,0.0437
             2016 08 03,0.06872
             2016 08 02,0.15723
             2016 08 02,0.00002
             2016 07 18,0.0456
             2016 07 31,0.09759
             2016 07 29,0.06429
             2016 07 31,0.02435
             2016 07 28,0.00671
             2016 07 22,0.00544
             2016 07 16,0.00552
             2016 07 09,0.00921
             2016 07 06,0.00237
             2016 07 12,0.0201
             2016 07 05,0.034
             2016 07 12,0.03194
             2016 07 10,0.00847
             2016 07 15,0.01562
             2016 07 11,0.03412
             2016 07 15,0.00556
             2016 07 14,0.00635
             2016 07 14,0.00312
             2016 07 12,0.01597
             2016 07 11,0.02817
             2016 07 11,0.03295
             2016 07 11,0.03806
             2016 07 07,0.02495
             2016 07 05,0.01279
             2016 07 09,0.00113
             2016 07 07,0.04906
             2016 07 06,0.10696
             2016 07 05,0.06344
             2016 07 05,0.00067
             2016 07 05,0.0154
             2016 07 03,0.0152
             2016 07 01,0.0007
             2016 06 29,0.02528
             2016 06 28,0.10415
             2016 06 29,0.01178
             2016 06 28,0.3904
             2016 06 28,0.01135
             2016 06 25,0.103
             2016 06 23,0.10133
             2016 06 16,0.0065
             2016 06 15,0.04341
             2016 06 10,0.00173
             2016 06 11,0.29514
             2016 06 07,0.22307
             2016 06 14,0.00279
             2016 06 11,0.00481
             2016 06 13,0.03357
             2016 06 12,0.03009
             2016 06 11,0.01062
             2016 06 11,0.01082
             2016 06 08,0.3007
             2016 06 11,0.05594
             2016 06 05,0.3116
             2016 06 08,0.03346
             2016 06 08,0.06477
             2016 06 09,0.20042
             2016 06 08,0.07341
             2016 06 08,0
             2016 06 08,0.04122
             2016 06 07,0.02095
             2016 06 07,0.01581
             2016 06 07,0.00216
             2016 06 08,0.00174
             2016 06 05,0.01281
             2016 06 05,0.2597
             2016 06 05,0.00562
             2016 06 03,0.0757
             2016 06 05,0.0169
             2016 06 05,0.06268
             2016 06 04,0.01599
             2016 06 03,0.21048
             2016 06 04,0.05424
             2016 06 04,0.01645
             2016 06 04,0.09305
             2016 06 03,0.06547
             2016 06 04,0.00035
             2016 06 02,0.00455
             2016 06 03,0.00837
             2016 06 02,0.06456
             2016 06 03,0.01513
             2016 06 03,0.00941
             2016 06 01,0.03326
             2016 06 01,0.01031
             2016 05 30,0.0946
             2016 05 30,0.15228
             2016 05 30,0.14181
             2016 05 28,0.0297
             2016 05 30,0.07384
             2016 05 30,0.08117
             2016 05 30,0.0253
             2016 05 27,0.01297
             2016 05 25,0.00594
             2016 05 25,0.03096
             2016 05 17,0.0302
             2016 05 16,0.03541
             2016 05 11,0.14429
             2016 05 04,0.00685
             2016 05 03,0.01977
             2016 05 03,0.00305
             2016 05 03,0.00299
             2016 05 03,0.07233
             2016 05 03,0.03023
             2016 05 01,0.01578
             2016 05 01,0.01493
             2016 05 15,0.03041
             2016 05 13,0.01022
             2016 05 12,0.07295
             2016 05 13,0.08721
             2016 05 12,0.00567
             2016 05 11,0.00035
             2016 05 10,0.07619
             2016 05 11,0.00442
             2016 05 11,0.00414
             2016 05 10,0.10323
             2016 05 10,0.02173
             2016 05 09,0.08499
             2016 05 07,0.097
             2016 05 08,0.07869
             2016 05 05,0.01435
             2016 05 01,0.4194
             2016 05 07,0.05137
             2016 05 08,0.00323
             2016 05 07,0.04413
             2016 05 05,0.00263
             2016 05 06,0.14308
             2016 05 07,0.02875
             2016 05 05,0.35096
             2016 05 05,0.06421
             2016 05 03,0.01801
             2016 05 05,0.02197
             2016 05 04,0.07868
             2016 05 04,0.00024
             2016 05 04,0.00152
             2016 05 04,0.00122
             2016 05 04,0.00986
             2016 05 03,0.03402
             2016 05 03,0.0138
             2016 05 03,0.06918
             2016 05 03,0.0003
             2016 05 03,0.02061
             2016 05 03,0.00301
             2016 05 02,0.02833
             2016 05 01,0.06173
             2016 05 01,0.02783
             2016 05 01,0.00019
